Date,Open,High,Low,Close,Adj Close,Volume
2/26/2019,158.5,160.759995,155.75,157.100006,156.938263,12211600
2/27/2019,156.520004,157.589996,153.110001,155.410004,155.25,12506400
2/28/2019,155,155.899994,153.360001,154.259995,154.259995,8123600
3/1/2019,156.270004,158.149994,153.919998,156.449997,156.449997,8929700
3/4/2019,158,158.919998,154.5,156.779999,156.779999,10249800
3/5/2019,156.149994,158.059998,153.960007,156.520004,156.520004,9073100
3/6/2019,156.160004,156.5,151.940002,152.050003,152.050003,10088100
3/7/2019,151.100006,151.490005,147.399994,149.259995,149.259995,11252600
3/8/2019,145.660004,151.070007,144.800003,150.639999,150.639999,10560400
3/11/2019,151.589996,162.059998,149.690002,161.139999,161.139999,21493200
3/12/2019,162.259995,164.389999,159.190002,162.520004,162.520004,14489400
3/13/2019,164.029999,169.800003,163.729996,168.619995,168.619995,19222500
3/14/2019,168.990005,169.470001,165.25,165.559998,165.559998,12984600
3/15/2019,167.300003,171.529999,167.160004,169.809998,169.809998,16537100
3/18/2019,171.080002,173.25,167.860001,168.949997,168.949997,12174800
3/19/2019,172.759995,177.5,172.080002,175.710007,175.710007,21374300
3/20/2019,176.880005,179.029999,173,174.399994,174.399994,17978700
3/21/2019,175.330002,185,175.130005,183.940002,183.940002,20607800
3/22/2019,182.839996,184.800003,176.940002,177.5,177.5,18681100
